cid,rhealth,raceth,fem,pfem,sprhealth,marstrain
484,Excellent,nh-white,1,1,3,-.75
484,Good,hispanic,1,1,5,-.25
485,Good,nh-white,0,0,3,-1.75
485,Good,nh-white,0,0,3,0
486,Good,nh-white,0,0,3,-1
486,Good,nh-white,0,0,3,-1.25
488,Very Good,nh-white,0,0,3,-.75
488,Good,nh-white,0,0,4,-1.5
489,Fair,hispanic,1,0,4,0
489,Very Good,hispanic,0,1,2,-.25
490,Poor,nh-white,1,1,2,-1
490,Fair,nh-white,1,1,1,-2
494,Very Good,nh-white,1,0,5,-2
494,Excellent,hispanic,0,1,4,-1
495,Poor,nh-white,1,0,4,-.5
495,Very Good,nh-white,0,1,1,-.75
496,Good,nh-white,1,0,2,-.75
496,Fair,nh-white,0,1,3,-.75
499,Fair,nh-white,1,0,4,-1.25
499,Very Good,nh-white,0,1,2,-1.5
500,Good,nh-white,1,0,4,-1.25
500,Very Good,nh-white,0,1,3,-1.25
501,Good,nh-white,1,1,4,-1.5
501,Very Good,nh-native american,1,1,3,-1.25
503,Good,nh-white,1,1,3,-1.75
503,Good,nh-white,1,1,3,-2
505,Excellent,nh-white,1,1,3,-1.5
505,Good,nh-white,1,1,5,-1.75
506,Very Good,nh-white,1,1,4,-.75
506,Very Good,nh-white,1,1,4,-.25
507,Good,hispanic,1,1,4,-.25
507,Very Good,nh-black,1,1,3,-.25
508,Good,nh-white,1,1,3,-1.25
508,Good,nh-white,1,1,3,0
510,Good,nh-white,1,0,2,-1.25
510,Fair,nh-white,0,1,3,-1
511,Very Good,nh-white,1,0,4,-1.75
511,Very Good,nh-asian,0,1,4,-2
512,Good,nh-white,1,1,2,-.5
512,Fair,nh-white,1,1,3,-.5
513,Poor,nh-white,1,0,4,-.5
513,Very Good,nh-white,0,1,1,-.75
516,Good,nh-white,1,1,4,-2
516,Very Good,nh-white,1,1,3,-1.75
517,Poor,nh-white,1,0,3,.25
517,Good,nh-white,0,1,1,1.5
518,Good,nh-white,1,1,3,-1.5
518,Good,nh-white,1,1,3,.75
519,Very Good,nh-white,1,1,3,-1.5
519,Good,nh-white,1,1,4,-1.5
520,Fair,nh-white,1,1,3,-1.5
520,Good,nh-white,1,1,2,-1.25
522,Excellent,nh-white,1,1,3,-2
522,Good,nh-white,1,1,5,-2
523,Very Good,nh-white,1,1,3,-1.5
523,Good,nh-white,1,1,4,-1.25
525,Excellent,nh-white,1,1,4,-2
525,Very Good,nh-mixed,1,1,5,-.5
527,Good,nh-white,1,0,4,-1.25
527,Very Good,nh-white,0,1,3,-1
528,Very Good,nh-white,1,0,3,-1.5
528,Good,nh-white,0,1,4,-1.25
530,Very Good,nh-white,1,0,5,-1.5
530,Excellent,nh-white,0,1,4,-1
532,Very Good,nh-white,1,0,5,-1.75
532,Excellent,nh-white,0,1,4,-1.25
534,Good,nh-white,1,0,2,-1.75
534,Fair,nh-white,0,1,3,-1.5
535,Fair,nh-white,1,1,2,-1
535,Fair,nh-white,1,1,2,-1.75
536,Good,nh-white,0,0,3,-1.25
536,Good,nh-white,0,0,3,-1.75
537,Very Good,nh-white,1,1,4,-2
537,Very Good,nh-white,1,1,4,-2
538,Excellent,nh-white,1,1,4,-2
538,Very Good,nh-white,1,1,5,-2
540,Excellent,nh-white,0,0,4,-1.5
540,Very Good,nh-white,0,0,5,-2
541,Very Good,nh-white,1,1,4,-1.75
541,Very Good,nh-white,1,1,4,-2
542,Very Good,nh-white,1,1,3,-2
542,Good,nh-white,1,1,4,-2
544,Excellent,nh-asian,1,1,5,-.75
544,Excellent,nh-white,1,1,5,-1.75
546,Very Good,nh-white,0,0,5,-2
546,Excellent,nh-white,0,0,4,-1.5
548,Very Good,nh-white,1,1,3,-1
548,Good,nh-white,1,1,4,-2
549,Very Good,nh-white,1,1,2,-1.25
549,Fair,nh-white,1,1,4,-.25
550,Very Good,nh-white,0,0,3,-1.75
550,Good,nh-white,0,0,4,-1.25
551,Excellent,nh-asian,1,1,3,-1.5
551,Good,nh-mixed,1,1,5,-1.75
552,Excellent,nh-white,1,1,4,-1.25
552,Very Good,nh-white,1,1,5,-1.5
553,Good,nh-white,1,1,3,-2
553,Good,nh-white,1,1,3,-2
554,Poor,nh-white,1,0,3,-1.5
554,Good,nh-white,0,1,1,-.5
555,Very Good,nh-white,0,1,3,-1.75
555,Good,nh-mixed,1,0,4,-2
556,Very Good,nh-white,1,0,3,-.75
556,Good,nh-white,0,1,4,-.5
557,Good,nh-white,1,0,5,-1.5
557,Excellent,nh-white,0,1,3,-2
559,Excellent,nh-mixed,0,1,4,-2
559,Very Good,nh-white,1,0,5,-1.25
561,Very Good,nh-white,0,0,5,-2
561,Excellent,nh-white,0,0,4,-1.5
562,Good,nh-asian,0,0,4,-1
562,Very Good,nh-white,0,0,3,-.25
564,Excellent,nh-white,0,0,4,-1
564,Very Good,nh-white,0,0,5,-1
566,Excellent,nh-white,1,0,3,-1.75
566,Good,nh-white,0,1,5,-.75
567,Very Good,hispanic,0,0,3,-1.5
567,Good,nh-white,0,0,4,-.75
568,Excellent,nh-white,0,0,4,-1.25
568,Very Good,nh-white,0,0,5,-1.25
569,Good,nh-white,0,0,4,-1
569,Very Good,nh-white,0,0,3,-.75
570,Poor,nh-other,1,1,2,-.75
570,Fair,nh-white,1,1,1,0
572,Good,nh-white,0,1,4,-1
572,Very Good,nh-white,1,0,3,-1.25
573,Very Good,nh-white,1,1,3,-2
573,Good,nh-white,1,1,4,-.75
574,Good,nh-mixed,1,0,3,-2
574,Good,nh-white,0,1,3,-1.75
575,Very Good,nh-white,1,1,3,-1.5
575,Good,nh-white,1,1,4,0
576,Good,nh-other,1,1,4,.5
576,Very Good,nh-black,1,1,3,.25
577,Very Good,nh-white,0,0,3,0
577,Good,hispanic,0,0,4,-1
579,Very Good,nh-white,1,1,2,-1.75
579,Fair,nh-white,1,1,4,-.75
581,Fair,nh-white,1,0,1,.25
581,Poor,nh-white,0,1,2,-.5
582,Very Good,nh-black,1,1,3,-1.5
582,Good,nh-black,1,1,4,-.5
584,Good,nh-black,0,1,3,-1.5
584,Good,nh-other,1,0,3,-1
585,Good,nh-white,1,0,2,2
585,Fair,nh-white,0,1,3,.25
586,Good,nh-white,0,1,3,-1.25
586,Good,nh-white,1,0,3,-2
587,Very Good,nh-white,0,0,4,-1.75
587,Very Good,nh-white,0,0,4,-1.75
588,Fair,nh-white,1,0,3,-1.75
588,Good,nh-white,0,1,2,-1.75
589,Poor,nh-white,1,1,4,-.75
589,Very Good,nh-white,1,1,1,-1.25
590,Good,hispanic,1,1,3,-2
590,Good,nh-white,1,1,3,-2
593,Very Good,nh-white,1,1,5,-.5
593,Excellent,nh-white,1,1,4,-.75
594,Fair,nh-white,0,1,5,-1.25
594,Excellent,nh-asian,1,0,2,-1.75
597,Very Good,nh-white,1,1,3,-1
597,Good,nh-white,1,1,4,.25
598,Very Good,nh-asian,1,0,4,-1
598,Very Good,nh-white,0,1,4,-1.5
600,Good,nh-white,1,0,2,-1.5
600,Fair,nh-white,0,1,3,-1.75
601,Very Good,nh-white,1,1,3,-1.25
601,Good,nh-white,1,1,4,-2
602,Very Good,nh-white,1,1,4,-2
602,Very Good,nh-white,1,1,4,-1.5
603,Very Good,nh-white,1,1,2,-1.5
603,Fair,nh-white,1,1,4,-1.25
604,Excellent,nh-white,0,1,4,-1.5
604,Very Good,nh-white,1,0,5,-1.5
605,Good,nh-white,1,1,5,-2
605,Excellent,nh-white,1,1,3,-2
606,Excellent,nh-white,1,1,4,-1.25
606,Very Good,nh-black,1,1,5,0
609,Very Good,nh-white,0,0,4,-2
609,Very Good,nh-white,0,0,4,-2
611,Good,nh-white,0,1,4,.75
611,Very Good,nh-white,1,0,3,.75
612,Excellent,hispanic,0,1,4,-1.5
612,Very Good,nh-white,1,0,5,-1.25
614,Good,nh-white,1,1,3,-.75
614,Good,nh-white,1,1,3,-1.75
615,Good,nh-white,1,1,3,-1.5
615,Good,nh-white,1,1,3,.25
616,Very Good,nh-white,1,1,3,-1.75
616,Good,nh-white,1,1,4,-2
618,Very Good,nh-white,1,0,3,-1
618,Good,nh-white,0,1,4,-1.25
621,Very Good,nh-white,1,1,4,-1.5
621,Very Good,nh-mixed,1,1,4,-1.5
622,Good,hispanic,1,1,4,-1.75
622,Very Good,nh-white,1,1,3,-.75
623,Good,nh-white,0,0,5,-.75
623,Excellent,nh-white,0,0,3,-1.75
624,Good,nh-white,1,1,3,-.25
624,Good,nh-black,1,1,3,0
625,Good,nh-white,0,0,4,-1.25
625,Very Good,nh-white,0,0,3,-1
626,Very Good,nh-white,1,1,2,-1.75
626,Fair,nh-white,1,1,4,-1
627,Good,nh-white,1,1,2,-1.5
627,Fair,nh-white,1,1,3,-1.5
628,Good,nh-white,0,0,5,-1.5
628,Excellent,nh-white,0,0,3,-1
629,Good,nh-white,0,0,4,-2
629,Very Good,nh-white,0,0,3,-2
630,Excellent,nh-white,1,1,5,-.5
630,Excellent,nh-white,1,1,5,.25
631,Fair,nh-white,0,0,4,-1.5
631,Very Good,nh-white,0,0,2,.25
633,Good,nh-white,1,1,3,-1.75
633,Good,nh-white,1,1,3,-1.5
636,Excellent,nh-white,1,1,4,-2
636,Very Good,nh-white,1,1,5,-1.75
637,Good,nh-white,1,1,4,-1
637,Very Good,nh-white,1,1,3,-1.5
638,Very Good,nh-white,0,0,4,-2
638,Very Good,nh-mixed,0,0,4,-2
639,Very Good,nh-white,1,1,5,-1.5
639,Excellent,nh-white,1,1,4,-1.75
641,Very Good,nh-white,0,0,5,-1.75
641,Excellent,nh-white,0,0,4,-1.75
642,Fair,nh-white,1,1,4,-.75
642,Very Good,nh-white,1,1,2,-1
643,Good,nh-white,0,0,4,-.25
643,Very Good,nh-white,0,0,3,-1.25
644,Excellent,nh-white,1,1,4,-1.5
644,Very Good,nh-white,1,1,5,-1.75
645,Good,nh-black,0,0,3,-1
645,Good,nh-white,0,0,3,-.5
646,Fair,nh-white,1,0,2,0
646,Fair,nh-white,0,1,2,0
647,Very Good,nh-white,0,0,4,-1.25
647,Very Good,nh-white,0,0,4,-1.5
648,Poor,hispanic,1,1,5,-1.25
648,Excellent,nh-black,1,1,1,-1.75
649,Very Good,nh-white,0,1,4,0
649,Very Good,nh-white,1,0,4,-.75
651,Fair,nh-white,1,1,2,-.75
651,Fair,nh-white,1,1,2,-.75
652,Excellent,nh-white,1,1,4,-2
652,Very Good,nh-white,1,1,5,-1.5
653,Fair,nh-white,1,0,3,.5
653,Good,nh-white,0,1,2,-1.25
654,Very Good,nh-white,1,1,4,-1.5
654,Very Good,nh-white,1,1,4,-.25
656,Good,nh-white,1,1,4,-1.25
656,Very Good,nh-white,1,1,3,-.75
657,Good,nh-white,1,1,4,0
657,Very Good,nh-white,1,1,3,-.5
658,Very Good,nh-black,1,1,3,1
658,Good,nh-white,1,1,4,.25
660,Good,nh-white,1,1,3,-2
660,Good,nh-white,1,1,3,-2
661,Fair,nh-white,1,0,4,-2
661,Very Good,nh-white,0,1,2,-1.5
662,Excellent,nh-white,0,0,4,-2
662,Very Good,nh-white,0,0,5,-1.75
663,Fair,nh-white,1,1,3,.25
663,Good,nh-white,1,1,2,-.5
664,Good,nh-white,1,0,3,-.5
664,Good,nh-white,0,1,3,.25
666,Excellent,nh-white,1,1,4,-1.5
666,Very Good,nh-white,1,1,5,-1.5
667,Good,nh-white,1,0,4,-.5
667,Very Good,nh-white,0,1,3,.25
670,Very Good,nh-white,1,1,4,-.75
670,Very Good,nh-white,1,1,4,-1.5
672,Very Good,nh-white,1,0,5,-.75
672,Excellent,nh-white,0,1,4,-1.25
673,Very Good,nh-black,1,0,4,-1
673,Very Good,nh-black,0,1,4,-2
674,Excellent,nh-white,0,0,4,-.75
674,Very Good,nh-white,0,0,5,-1.75
676,Good,nh-other,0,0,3,-1.5
676,Good,nh-white,0,0,3,-.25
677,Excellent,nh-white,0,0,4,-.75
677,Very Good,nh-white,0,0,5,-1.75
678,Good,nh-white,1,1,3,-1
678,Good,nh-white,1,1,3,-1.25
679,Very Good,nh-white,1,1,3,-1.25
679,Good,nh-white,1,1,4,-1.25
680,Good,nh-white,1,1,4,-1.75
680,Very Good,nh-white,1,1,3,-1.75
681,Fair,nh-white,1,0,3,-1.5
681,Good,nh-white,0,1,2,-1.25
684,Fair,nh-white,1,0,2,-1.5
684,Fair,nh-white,0,1,2,-.75
687,Very Good,nh-white,1,1,3,-1
687,Good,nh-white,1,1,4,-.75
688,Very Good,hispanic,1,0,4,-1.75
688,Very Good,nh-black,0,1,4,-1.75
690,Excellent,nh-white,0,0,4,-1.75
690,Very Good,nh-white,0,0,5,-2
692,Very Good,nh-white,1,1,3,-.5
692,Good,nh-white,1,1,4,0
693,Very Good,nh-white,0,0,4,-1.75
693,Very Good,nh-white,0,0,4,-1.75
694,Fair,nh-other,1,0,3,-.5
694,Good,nh-black,0,1,2,-.25
696,Fair,nh-white,1,1,3,-1
696,Good,nh-other,1,1,2,.75
697,Very Good,nh-white,1,1,5,0
697,Excellent,nh-white,1,1,4,-.5
698,Very Good,nh-white,0,0,5,-1.75
698,Excellent,nh-white,0,0,4,-.75
700,Very Good,nh-white,1,1,4,-.75
700,Very Good,nh-white,1,1,4,-.5
701,Good,nh-black,1,0,4,-1.5
701,Very Good,nh-black,0,1,3,-1.25
702,Very Good,nh-white,0,0,5,-1.25
702,Excellent,nh-white,0,0,4,-1
703,Excellent,nh-white,0,0,5,-.5
703,Excellent,nh-white,0,0,5,-1
704,Very Good,nh-white,1,1,2,-2
704,Fair,nh-black,1,1,4,0
707,Excellent,nh-white,1,1,4,-.75
707,Very Good,nh-white,1,1,5,-1.75
708,Very Good,nh-white,1,1,5,-1.75
708,Excellent,nh-white,1,1,4,-.5
709,Good,nh-white,1,1,2,-1.75
709,Fair,nh-white,1,1,3,-.75
710,Good,hispanic,0,1,2,-.5
710,Fair,hispanic,1,0,3,0
712,Good,nh-white,1,1,2,-1.75
712,Fair,nh-white,1,1,3,-.5
713,Excellent,nh-white,1,1,3,-1.75
713,Good,nh-white,1,1,5,-1.75
714,Very Good,nh-white,1,1,4,-1.5
714,Very Good,nh-white,1,1,4,-2
717,Good,nh-white,0,0,4,-1.75
717,Very Good,nh-white,0,0,3,-1.5
719,Good,nh-white,0,1,3,-.25
719,Good,nh-white,1,0,3,-.75
720,Very Good,nh-white,0,0,3,-1
720,Good,nh-white,0,0,4,-1.5
722,Excellent,nh-white,1,1,3,-1
722,Good,nh-white,1,1,5,-1
724,Fair,nh-white,1,0,2,-.5
724,Fair,nh-white,0,1,2,.5
725,Very Good,nh-white,1,0,1,.25
725,Poor,hispanic,0,1,4,0
726,Very Good,nh-white,1,1,4,-1.5
726,Very Good,nh-white,1,1,4,0
727,Very Good,nh-white,1,1,4,-1.75
727,Very Good,nh-white,1,1,4,-1
728,Very Good,nh-white,1,1,4,-1.5
728,Very Good,nh-white,1,1,4,-1.25
730,Good,nh-white,1,0,3,-.5
730,Good,nh-white,0,1,3,-1.5
732,Very Good,nh-white,1,0,3,-1.25
732,Good,nh-white,0,1,4,-1
733,Very Good,nh-white,0,0,5,-2
733,Excellent,nh-white,0,0,4,-.5
734,Very Good,nh-black,1,0,4,-.75
734,Very Good,nh-white,0,1,4,.5
735,Very Good,nh-white,1,1,4,-1.5
735,Very Good,nh-white,1,1,4,-1.75
736,Very Good,nh-white,1,0,5,-1
736,Excellent,nh-white,0,1,4,0
738,Good,nh-white,1,0,2,-.75
738,Fair,nh-white,0,1,3,-2
740,Fair,nh-other,1,0,3,-1.75
740,Good,nh-white,0,1,2,-.25
742,Good,nh-white,1,0,4,-1.25
742,Very Good,nh-white,0,1,3,-1.25
744,Very Good,nh-white,1,0,3,-2
744,Good,nh-white,0,1,4,-1.75
745,Very Good,nh-white,1,1,4,-2
745,Very Good,nh-white,1,1,4,0
746,Fair,nh-white,1,0,1,-1.75
746,Poor,nh-white,0,1,2,-1.75
747,Very Good,nh-white,1,1,4,-2
747,Very Good,nh-white,1,1,4,-1.75
748,Good,nh-white,1,0,3,-1.5
748,Good,nh-white,0,1,3,-1
749,Good,nh-white,1,0,3,-2
749,Good,nh-black,0,1,3,-1.25
750,Very Good,nh-white,1,1,3,-2
750,Good,nh-white,1,1,4,-.75
751,Good,hispanic,1,0,4,-1.75
751,Very Good,nh-white,0,1,3,0
752,Good,nh-white,1,0,3,-1.5
752,Good,nh-white,0,1,3,-.25
753,Excellent,nh-white,0,0,4,-1
753,Very Good,nh-white,0,0,5,-1.75
754,Very Good,nh-black,1,0,5,-2
754,Excellent,nh-white,0,1,4,-1.25
755,Good,nh-white,0,1,5,-.75
755,Excellent,nh-white,1,0,3,-2
756,Very Good,nh-white,1,0,3,-.5
756,Good,nh-white,0,1,4,0
760,Good,nh-white,1,0,3,-.75
760,Good,nh-white,0,1,3,-1
765,Excellent,nh-white,1,0,3,-.75
765,Good,nh-white,0,1,5,-1
766,Very Good,nh-white,0,0,3,-1
766,Good,nh-white,0,0,4,-1.5
767,Very Good,hispanic,1,0,4,0
767,Very Good,nh-white,0,1,4,-1.5
768,Very Good,nh-white,1,1,1,-1.75
768,Poor,nh-white,1,1,4,-1.75
769,Very Good,nh-white,0,0,5,.5
769,Excellent,hispanic,0,0,4,-1
770,Very Good,nh-black,0,1,4,-1.5
770,Very Good,nh-white,1,0,4,-1.25
771,Very Good,nh-mixed,0,0,3,-2
771,Good,nh-white,0,0,4,-1.5
772,Excellent,nh-white,0,0,5,-1.75
772,Excellent,nh-white,0,0,5,-1.75
773,Good,nh-asian,0,1,1,-.5
773,Poor,nh-asian,1,0,3,0
774,Very Good,nh-white,1,0,3,-1
774,Good,nh-asian,0,1,4,-.75
776,Good,nh-white,1,1,2,-1.25
776,Fair,nh-white,1,1,3,-1.5
777,Very Good,nh-asian,1,0,2,-1.5
777,Fair,nh-white,0,1,4,-1
